name,FramePerSec,Frameid,timestamp,hands,fingers,ID,length,width,ArmDirX,ArmDirY,ArmDirZ,WX,WY,WZ,ElbPosX,ElbPosY,ElbPosZ,Metacarpal_BBX,Metacarpal_BBY,Metacarpal_BBZ,Metacarpal_BHX,Metacarpal_BHY,Metacarpal_BHZ,Metacarpal_BDirX,Metacarpal_BDirY,Metacarpal_BDirZ,Proximal_BBX,Proximal_BBY,Proximal_BBZ,Proximal_BHX,Proximal_BHY,Proximal_BHZ,Proximal_BDirX,Proximal_BDirY,Proximal_BDirZ,Intermediate_BBX,Intermediate_BBY,Intermediate_BBZ,Intermediate_BHX,Intermediate_BHY,Intermediate_BHZ,Intermediate_BDirX,Intermediate_BDirY,Intermediate_BDirZ,Distal_BBX,Distal_BBY,Distal_BBZ,Distal_BHX,Distal_BHY,Distal_BHZ,Distal_BDirX,Distal_BDirY,Distal_BDirZ
Thumb,109,25953995,337861753568,1,5,11300,51.981945,20.197769,-0.429465,0.158716,-0.889027,14.8877,178.591,87.4713,130.544,135.848,326.889,-14.6326,170.764,89.3415,-14.6326,170.764,89.3415,0,0,0,-14.6326,170.764,89.3415,-46.298,172.406,50.9549,0.635995,-0.0329713,0.770988,-46.298,172.406,50.9549,-63.5285,170.673,21.6866,0.506663,0.0509462,0.860638,-63.5285,170.673,21.6866,-80.5329,173.059,5.87313,0.728451,-0.102194,0.677433
Thumb,109,25953996,337861762574,1,5,11300,52.006073,20.207144,-0.429662,0.158459,-0.888978,14.8732,178.563,87.4765,130.637,135.87,326.992,-14.6624,170.737,89.3434,-14.6624,170.737,89.3434,0,0,0,-14.6624,170.737,89.3434,-46.3389,172.361,50.9353,0.635923,-0.0326071,0.771063,-46.3389,172.361,50.9353,-63.5647,170.608,21.6472,0.506292,0.051519,0.860822,-63.5647,170.608,21.6472,-80.5868,172.996,5.837,0.728867,-0.102253,0.676976
Thumb,110,25953997,337861771614,1,5,11300,52.006073,20.207144,-0.429787,0.15837,-0.888933,14.8574,178.543,87.4577,130.654,135.874,326.962,-14.6795,170.721,89.3218,-14.6795,170.721,89.3218,0,0,0,-14.6795,170.721,89.3218,-46.3524,172.331,50.91,0.635851,-0.0323099,0.771136,-46.3524,172.331,50.91,-63.5712,170.564,21.6186,0.506086,0.0519258,0.860919,-63.5712,170.564,21.6186,-80.6073,172.959,5.82456,0.72947,-0.10253,0.676285
Thumb,110,25953998,337861780649,1,5,11300,52.030201,20.216518,-0.429822,0.158532,-0.888888,14.8451,178.526,87.4657,130.705,135.793,327.069,-14.7065,170.704,89.329,-14.7065,170.704,89.329,0,0,0,-14.7065,170.704,89.329,-46.3977,172.299,50.9017,0.635923,-0.0319903,0.771089,-46.3977,172.299,50.9017,-63.613,170.51,21.5911,0.505747,0.0525297,0.861081,-63.613,170.51,21.5911,-80.6623,172.903,5.79504,0.729699,-0.102378,0.676061
Thumb,110,25953999,337861789698,1,5,11300,52.030201,20.216518,-0.429856,0.158806,-0.888822,14.8299,178.518,87.4505,130.699,135.711,327.036,-14.7225,170.699,89.3127,-14.7225,170.699,89.3127,0,0,0,-14.7225,170.699,89.3127,-46.4189,172.279,50.889,0.636025,-0.0317199,0.771017,-46.4189,172.279,50.889,-63.6236,170.472,21.5735,0.50544,0.0530856,0.861227,-63.6236,170.472,21.5735,-80.6807,172.863,5.78565,0.730031,-0.102337,0.675709
Thumb,110,25954000,337861798732,1,5,11300,52.054329,20.225893,-0.430213,0.156793,-0.889006,14.8055,178.498,87.4576,130.825,136.214,327.204,-14.7621,170.68,89.3184,-14.7621,170.68,89.3184,0,0,0,-14.7621,170.68,89.3184,-46.48,172.264,50.8827,0.636163,-0.0317631,0.770901,-46.48,172.264,50.8827,-63.6846,170.448,21.5493,0.5052,0.0533235,0.861354,-63.6846,170.448,21.5493,-80.7596,172.848,5.76608,0.730459,-0.102668,0.675196
Thumb,110,25954001,337861807756,1,5,11300,52.054329,20.225893,-0.430562,0.155665,-0.889036,14.7748,178.482,87.4421,130.888,136.503,327.196,-14.794,170.669,89.3015,-14.794,170.669,89.3015,0,0,0,-14.794,170.669,89.3015,-46.5138,172.253,50.8673,0.6362,-0.0317784,0.77087,-46.5138,172.253,50.8673,-63.7094,170.43,21.5291,0.504937,0.0535305,0.861495,-63.7094,170.43,21.5291,-80.7921,172.837,5.75517,0.730785,-0.102954,0.674799
Thumb,110,25954002,337861816794,1,5,11300,52.078457,20.235268,-0.430838,0.155028,-0.889013,14.7454,178.464,87.4559,130.987,136.637,327.315,-14.8381,170.65,89.3148,-14.8381,170.65,89.3148,0,0,0,-14.8381,170.65,89.3148,-46.5755,172.236,50.8652,0.636259,-0.031782,0.770821,-46.5755,172.236,50.8652,-63.7685,170.403,21.5077,0.504626,0.0537852,0.861661,-63.7685,170.403,21.5077,-80.8713,172.821,5.74128,0.731309,-0.10337,0.674168
Thumb,110,25954003,337861825831,1,5,11300,52.078457,20.235268,-0.43013,0.153221,-0.889669,14.6212,178.427,87.467,130.672,137.088,327.503,-14.9665,170.627,89.3164,-14.9665,170.627,89.3164,0,0,0,-14.9665,170.627,89.3164,-46.7031,172.246,50.8676,0.636243,-0.0324528,0.770806,-46.7031,172.246,50.8676,-63.8816,170.424,21.501,0.504201,0.0534681,0.861929,-63.8816,170.424,21.501,-81.0171,172.886,5.77702,0.732708,-0.105278,0.672351
Thumb,110,25954004,337861834879,1,5,11300,52.102585,20.244644,-0.42974,0.151941,-0.890077,14.5283,178.393,87.501,130.527,137.38,327.758,-15.0759,170.6,89.3475,-15.0759,170.6,89.3475,0,0,0,-15.0759,170.6,89.3475,-46.8243,172.224,50.8787,0.636184,-0.0325558,0.77085,-46.8243,172.224,50.8787,-63.9957,170.395,21.49,0.503759,0.0536645,0.862176,-63.9957,170.395,21.49,-81.1591,172.879,5.78379,0.733557,-0.106182,0.671282
Thumb,110,25954005,337861843928,1,5,11300,52.102585,20.244644,-0.429601,0.151252,-0.890262,14.4527,178.365,87.5103,130.414,137.538,327.817,-15.1532,170.577,89.3562,-15.1532,170.577,89.3562,0,0,0,-15.1532,170.577,89.3562,-46.9054,172.201,50.8905,0.636261,-0.032539,0.770787,-46.9054,172.201,50.8905,-64.0693,170.364,21.498,0.503537,0.0539152,0.86229,-64.0693,170.364,21.498,-81.2549,172.866,5.81889,0.734508,-0.106935,0.670122
Thumb,110,25954006,337861852947,1,5,11300,52.116371,20.25,-0.430156,0.150972,-0.890041,14.3995,178.331,87.5413,130.542,137.568,327.852,-15.2154,170.546,89.3915,-15.2154,170.546,89.3915,0,0,0,-15.2154,170.546,89.3915,-46.9862,172.175,50.9242,0.636465,-0.0326316,0.770615,-46.9862,172.175,50.9242,-64.153,170.333,21.5233,0.503493,0.0540244,0.862309,-64.153,170.333,21.5233,-81.3706,172.858,5.87364,0.735678,-0.107877,0.668686
Thumb,110,25954007,337861861984,1,5,11300,52.116371,20.25,-0.430758,0.151574,-0.889648,14.3281,178.308,87.5598,130.633,137.384,327.765,-15.2863,170.524,89.4159,-15.2863,170.524,89.4159,0,0,0,-15.2863,170.524,89.4159,-47.0644,172.146,50.9543,0.636609,-0.0324959,0.770501,-47.0644,172.146,50.9543,-64.2295,170.295,21.553,0.503441,0.0542979,0.862322,-64.2295,170.295,21.553,-81.4655,172.829,5.92521,0.736466,-0.108297,0.66775
Thumb,110,25954008,337861871050,1,5,11300,52.116371,20.25,-0.432258,0.152325,-0.888792,14.2409,178.305,87.5839,130.95,137.178,327.558,-15.3725,170.518,89.4468,-15.3725,170.518,89.4468,0,0,0,-15.3725,170.518,89.4468,-47.1594,172.129,50.9922,0.636789,-0.0322556,0.770363,-47.1594,172.129,50.9922,-64.3193,170.261,21.5887,0.503287,0.0547651,0.862382,-64.3193,170.261,21.5887,-81.5805,172.808,5.99086,0.737543,-0.108834,0.666472
Thumb,110,25954009,337861880072,1,5,11300,52.116371,20.25,-0.433526,0.15322,-0.88802,14.1437,178.288,87.6198,131.196,136.918,327.385,-15.4674,170.494,89.4908,-15.4674,170.494,89.4908,0,0,0,-15.4674,170.494,89.4908,-47.2676,172.092,51.0466,0.637055,-0.0320172,0.770154,-47.2676,172.092,51.0466,-64.4255,170.21,21.643,0.50323,0.0551974,0.862388,-64.4255,170.21,21.643,-81.7213,172.776,6.08651,0.739022,-0.109615,0.664703
Thumb,110,25954010,337861889103,1,5,11300,52.116371,20.25,-0.434452,0.15421,-0.887395,14.0544,178.294,87.6502,131.356,136.657,327.247,-15.5545,170.494,89.5302,-15.5545,170.494,89.5302,0,0,0,-15.5545,170.494,89.5302,-47.3643,172.073,51.0932,0.637247,-0.0316299,0.77001,-47.3643,172.073,51.0932,-64.5197,170.172,21.6892,0.503155,0.0557514,0.862396,-64.5197,170.172,21.6892,-81.8427,172.748,6.16488,0.740188,-0.110056,0.663332
Thumb,110,25954011,337861898175,1,5,11300,52.116371,20.25,-0.435274,0.154748,-0.886899,13.9478,178.307,87.688,131.472,136.525,327.151,-15.6579,170.497,89.5781,-15.6579,170.497,89.5781,0,0,0,-15.6579,170.497,89.5781,-47.4777,172.048,51.1482,0.637447,-0.0310635,0.769868,-47.4777,172.048,51.1482,-64.6315,170.123,21.7449,0.50311,0.0564545,0.862376,-64.6315,170.123,21.7449,-81.9809,172.703,6.25084,0.741313,-0.11027,0.662038
Thumb,110,25954012,337861907199,1,5,11300,52.116371,20.25,-0.436073,0.154863,-0.886486,13.8362,178.32,87.7281,131.576,136.507,327.079,-15.7661,170.5,89.6288,-15.7661,170.5,89.6288,0,0,0,-15.7661,170.5,89.6288,-47.5972,172.022,51.2071,0.637674,-0.0304918,0.769703,-47.5972,172.022,51.2071,-64.7506,170.073,21.8051,0.503096,0.0571625,0.862338,-64.7506,170.073,21.8051,-82.1141,172.648,6.32589,0.741917,-0.110024,0.661404
